Year,Lg,Pos,Player,Tm,Voting,Player-additional
2024,NFL,RB,Saquon Barkley,Philadelphia Eagles,Voting,BarkSa00
2023,NFL,RB,Christian McCaffrey,San Francisco 49ers,Voting,McCaCh01
2022,NFL,WR,Justin Jefferson,Minnesota Vikings,Voting,JeffJu00
2021,NFL,WR,Cooper Kupp,Los Angeles Rams,Voting,KuppCo00
2020,NFL,RB,Derrick Henry,Tennessee Titans,Voting,HenrDe00
2019,NFL,WR,Michael Thomas,New Orleans Saints,Voting,ThomMi05
2018,NFL,QB,Patrick Mahomes,Kansas City Chiefs,Voting,MahoPa00
2017,NFL,RB,Todd Gurley,Los Angeles Rams,Voting,GurlTo01
2016,NFL,QB,Matt Ryan,Atlanta Falcons,Voting,RyanMa00
2015,NFL,QB,Cam Newton,Carolina Panthers,Voting,NewtCa00
2014,NFL,RB,DeMarco Murray,Dallas Cowboys,Voting,MurrDe00
2013,NFL,QB,Peyton Manning,Denver Broncos,Voting,MannPe00
2012,NFL,RB,Adrian Peterson,Minnesota Vikings,Voting,PeteAd01
