Year,Lg,Pos,Player,Tm,Voting,Player-additional
2024,NFL,CB,Patrick Surtain II,Denver Broncos,Voting,SurtPa01
2023,NFL,DE,Myles Garrett,Cleveland Browns,Voting,GarrMy00
2022,NFL,DE,Nick Bosa,San Francisco 49ers,Voting,BosaNi00
2021,NFL,OLB,T.J. Watt,Pittsburgh Steelers,Voting,WattT.00
2020,NFL,DT,Aaron Donald,Los Angeles Rams,Voting,DonaAa00
2019,NFL,CB,Stephon Gilmore,New England Patriots,Voting,GilmSt00
2018,NFL,DT,Aaron Donald,Los Angeles Rams,Voting,DonaAa00
2017,NFL,DT,Aaron Donald,Los Angeles Rams,Voting,DonaAa00
2016,NFL,OLB,Khalil Mack,Oakland Raiders,Voting,MackKh00
2015,NFL,DE,J.J. Watt,Houston Texans,Voting,WattJ.00
2014,NFL,DE,J.J. Watt,Houston Texans,Voting,WattJ.00
2013,NFL,ILB,Luke Kuechly,Carolina Panthers,Voting,KuecLu00
2012,NFL,DE,J.J. Watt,Houston Texans,Voting,WattJ.00
